,Closest City,Country Code,Latitude,Longitude,Temperature,Wind Speed,Humidity,Cloudiness
102,punta arenas,cl,-53.16,-70.91,8.0,7.2,61.0,75.0
105,muisne,ec,0.61,-80.02,27.25,1.96,72.0,80.0
106,haines junction,ca,60.75,-137.51,-28.3,0.86,48.0,0.0
107,bolu,tr,40.73,31.61,11.4,3.51,60.0,80.0
108,srednekolymsk,ru,67.46,153.71,-23.28,1.21,69.0,0.0
109,springville,us,40.17,-111.61,-1.0,2.1,86.0,75.0
110,omsukchan,ru,62.53,155.8,-26.43,1.16,63.0,0.0
111,ponta delgada,pt,37.73,-25.67,17.0,3.6,72.0,75.0
112,mhlambanyatsi,sz,-26.45,31.02,20.7,1.61,75.0,80.0
113,camacha,pt,33.08,-16.33,18.0,6.7,63.0,40.0
114,peruibe,br,-24.32,-47.0,26.15,2.31,100.0,48.0
115,surgut,ru,61.25,73.4,-2.0,6.0,68.0,40.0
116,dosso,ne,13.05,3.19,39.05,2.16,18.0,0.0
117,sao mateus do sul,br,-25.87,-50.38,17.6,4.91,100.0,92.0
118,miandrivazo,mg,-19.53,45.46,31.95,2.41,38.0,20.0
119,ruidoso,us,33.33,-105.67,16.0,5.7,29.0,75.0
120,bonito,br,-1.36,-47.3,28.13,2.06,100.0,24.0
121,ilulissat,gl,69.22,-51.1,-23.0,1.5,69.0,20.0
122,khorixas,na,-20.37,14.96,30.98,1.86,42.0,24.0
123,uwajima,jp,33.22,132.57,10.75,2.41,78.0,48.0
124,jacutinga,br,-22.29,-46.61,25.8,2.66,75.0,36.0
125,promyshlennyy,ru,67.58,63.92,-14.68,4.61,79.0,68.0
126,morondava,mg,-20.3,44.28,30.9,4.66,76.0,20.0
127,marsabit,ke,2.34,37.99,26.33,3.61,72.0,0.0
128,winslow,us,35.02,-110.7,-3.0,3.6,42.0,1.0
129,oriximina,br,-1.77,-55.87,28.63,1.41,80.0,56.0
130,pedernales,ec,0.07,-80.05,25.73,2.06,85.0,80.0
131,potiskum,ng,11.71,11.08,38.23,4.71,18.0,0.0
132,jackson,us,35.61,-88.82,12.0,2.6,93.0,40.0
133,sumter,us,33.92,-80.34,6.0,6.7,65.0,90.0
134,cabo san lucas,mx,22.89,-109.91,22.0,2.6,48.0,40.0
135,kaitong,cn,44.81,123.15,13.58,5.96,26.0,76.0
136,paamiut,gl,61.99,-49.67,-8.15,14.76,100.0,0.0
137,huite,gt,14.93,-89.72,20.08,0.76,58.0,0.0
138,marabba,sd,12.35,32.18,39.08,2.01,18.0,0.0
139,trabzon,tr,41.01,39.72,12.0,1.5,93.0,75.0
142,dubti,et,11.74,41.09,32.33,2.56,22.0,0.0
143,uniontown,us,39.9,-79.72,3.0,5.1,47.0,1.0
144,shelbyville,us,39.41,-88.79,5.0,4.1,56.0,1.0
145,tarnogskiy gorodok,ru,60.5,43.58,-9.3,2.86,85.0,0.0
147,bilibino,ru,68.06,166.44,-30.63,1.01,32.0,0.0
148,bourbonnais,us,41.16,-87.88,2.0,6.7,51.0,1.0
149,kysyl-syr,ru,63.9,122.77,-5.7,2.51,79.0,88.0
150,mackay,au,-21.15,149.2,25.0,4.1,94.0,90.0
152,zanesville,us,39.94,-82.01,3.0,6.2,64.0,1.0
153,cherskiy,ru,68.75,161.3,-28.7,1.16,28.0,0.0
154,mount gambier,au,-37.83,140.78,12.5,1.11,76.0,80.0
155,noumea,nc,-22.28,166.46,25.0,1.5,78.0,0.0
156,rosarito,mx,27.04,-109.91,16.0,6.36,67.0,75.0
157,linjiang,cn,41.81,126.91,7.33,4.21,63.0,0.0
158,picton,ca,44.01,-77.14,2.83,4.91,94.0,0.0
159,nikolskoye,ru,59.7,30.79,-2.0,4.0,39.0,0.0
160,beira,mz,-19.84,34.84,30.0,6.16,74.0,75.0
161,ranong,th,9.96,98.62,27.88,3.26,100.0,0.0
162,grants,us,35.15,-107.85,1.0,2.6,43.0,1.0
163,mazara del vallo,it,37.65,12.59,14.0,5.1,67.0,75.0
164,hay river,ca,60.82,-115.79,-23.13,1.61,68.0,44.0
165,bundaberg,au,-24.87,152.35,24.73,6.01,100.0,88.0
166,berlin,hn,14.83,-88.5,22.63,1.06,75.0,36.0
167,sisophon,kh,13.59,102.97,28.98,1.46,63.0,76.0
168,zhanakorgan,kz,43.91,67.25,10.2,1.96,73.0,8.0
169,nome,us,30.04,-94.42,22.0,4.1,88.0,90.0
170,florianopolis,br,-27.6,-48.55,21.0,5.1,77.0,75.0
171,casa grande,us,32.88,-111.76,13.0,2.6,34.0,0.0
172,maneadero,mx,31.72,-116.57,7.83,1.61,88.0,76.0
173,benxi,cn,41.29,123.76,12.0,4.0,46.0,0.0
174,barberton,za,-25.79,31.05,22.0,2.1,73.0,90.0
175,bindura,zw,-17.3,31.33,22.08,1.21,85.0,12.0
176,funchal,pt,32.63,-16.9,18.0,8.2,59.0,40.0
177,zaria,ng,11.11,7.72,36.63,3.11,19.0,0.0
178,tooele,us,40.53,-112.3,1.0,1.5,100.0,90.0
179,coachella,us,33.68,-116.18,14.0,6.2,47.0,1.0
181,san antonio,hn,13.96,-88.47,22.0,0.71,94.0,0.0
182,rosetta,eg,31.4,30.42,25.0,3.1,44.0,0.0
183,zapolyarnyy,ru,69.43,30.82,-6.0,6.7,79.0,75.0
184,hofn,is,64.25,-15.21,5.0,8.7,99.0,90.0
185,nadvoitsy,ru,63.89,34.27,-5.75,2.56,65.0,76.0
186,garachine,pa,8.06,-78.36,26.55,4.41,91.0,8.0
187,murmashi,ru,68.82,32.82,-6.0,4.0,79.0,75.0
188,aneho,tg,6.23,1.6,31.0,5.1,74.0,20.0
189,prata,br,-19.31,-48.92,27.85,5.26,80.0,0.0
190,raudeberg,no,61.99,5.14,6.0,1.5,60.0,75.0
191,namatanai,pg,-3.66,152.44,27.33,2.31,100.0,68.0
192,voh,nc,-20.95,164.69,25.55,6.86,100.0,92.0
193,caraguatatuba,br,-23.62,-45.41,26.0,1.0,69.0,75.0
194,presidente epitacio,br,-21.76,-52.12,28.9,1.96,85.0,32.0
195,te anau,nz,-45.41,167.72,15.23,8.21,58.0,20.0
